id,name,determinacion,list_price,lst_price,organismo_id/id,unidad_id/id,departamento_id/id,coordinacion_id/id,laboratorio_id/id,verificacion_insitu,active,type
habilitacion_de_seminario_de_la_norma_np2_028_96_-_hasta_40_alumnos,Habilitación de Seminario de la Norma NP2 028 96 - Hasta 40 alumnos,,1500000,1500000,organismo_dse,unidad_intn_organismo_dse,departamento_de_control_de_organismo_de_evaluación_de_la_conformidad_-_coec_unidad_intn_organismo_dse,coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,laboratorio_intn_coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,TRUE,TRUE,Consumible
habilitacion_de_seminario_de_la_norma_np2_028_96_-_hasta_20_alumnos,Habilitación de Seminario de la Norma NP2 028 96 - Hasta 20 alumnos,,750000,750000,organismo_dse,unidad_intn_organismo_dse,departamento_de_control_de_organismo_de_evaluación_de_la_conformidad_-_coec_unidad_intn_organismo_dse,coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,laboratorio_intn_coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,TRUE,TRUE,Consumible
matricula_de_electricistas,Matrícula de Electricistas,,50000,50000,organismo_dse,unidad_intn_organismo_dse,departamento_de_control_de_organismo_de_evaluación_de_la_conformidad_-_coec_unidad_intn_organismo_dse,coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,laboratorio_intn_coordinacion_intn_departamento_de_control_de_organismo_de_evaluacion_de_la_conformidad_-_coec_unidad_intn_organismo_dse,TRUE,TRUE,Consumible
capacitacion_en_buenas_practicas_de_alimentos_charlas_teorico-practicas_en_bpm_para_mipymes_en_alimentos,Capacitacion en buenas Practicas de alimentos,Charlas teórico-prácticas en BPM para mipymes en alimentos,1000000,1000000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
capacitacion_en_alimentos_procesamiento_de_alimentos_,Capacitación en alimentos,Procesamiento de alimentos ,1000000,1000000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
verificacion_merma_de_produccion_(inicial_en_planta)_verificacion_insitu_,Verificación Merma de Producción (Inicial en planta),Verificación insitu ,1537000,1537000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,True,TRUE,Consumible
verificacion_merma_de_produccion_1_a_3_meses_por_cada_mes__verificacion_documental_,Verificación Merma de Producción 1 a 3 meses por cada mes ,Verificación documental ,539000,539000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
verificacion_merma_de_produccion_4_a_6_meses_por_cada_mes__verificacion_documental_,Verificación Merma de Producción 4 a 6 meses por cada mes ,Verificación documental ,108000,108000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
verificacion_merma_de_produccion_de_7_a_9_meses_por_cada_mes_verificacion_documental_,Verificación Merma de Producción de 7 a 9 meses por cada mes,Verificación documental ,134000,134000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
verificacion_merma_de_produccion_de_10_a_12_meses_por_cada_mes_verificacion_documental_,Verificación Merma de Producción de 10 a 12 meses por cada mes,Verificación documental ,160000,160000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
verificacion_merma_de_produccion_(mantenimiento)_verificacion_documental_,Verificación Merma de Producción (Mantenimiento),Verificación documental ,461000,461000,organismo_oiat,unidad_agroalimentos_-_uaal_organismo_oiat,departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,laboratorio_intn_coordinacion_intn_departamento_agroindustrias_-_agro_unidad_agroalimentos_-_uaal_organismo_oiat,False,TRUE,Consumible
jabones__acidos_grasos,Jabones ,Acidos grasos,260000,260000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__alcalinidad_libre,Jabones ,Alcalinidad libre,242000,242000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__carbonato_de_sodio,Jabones ,Carbonato de sodio,242000,242000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__grasas_neutras_y_materia_insaponificable,Jabones ,Grasas neutras y materia insaponificable,203000,203000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__humedad,Jabones ,Humedad,97000,97000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__materia_insoluble,Jabones ,Materia insoluble,57000,57000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__materia_insaponificable,Jabones ,Materia insaponificable,174000,174000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__materia_grasa,Jabones ,Materia grasa,149000,149000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
jabones__acidez,Jabones ,Acidez,106000,106000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
domisanitarios_analisis_para_registro_sanitario_del_m.s.p._y_b.s._domisanitarios_con_accion_bactericida,Domisanitarios Análisis para Registro Sanitario del M.S.P. Y B.S.,Domisanitarios con acción bactericida,270000,270000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
domisanitarios_analisis_para_registro_sanitario_del_m.s.p._y_b.s._domisanitarios_sin_accion_bactericida,Domisanitarios Análisis para Registro Sanitario del M.S.P. Y B.S.,Domisanitarios sin acción bactericida,242000,242000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
domisanitarios_analisis_para_registro_sanitario_del_m.s.p._y_b.s._cloro_activo,Domisanitarios Análisis para Registro Sanitario del M.S.P. Y B.S.,Cloro activo,242000,242000,organismo_oiat,unidad_de_quimica_industrial_organismo_oiat,departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,laboratorio_domisanitarios_coordinacion_intn_departamento_ensayos_inorganicos_-_enin_unidad_de_quimica_industrial_organismo_oiat,False,True,Consumible
